Year,Month,Day,Event
2010,January,30,FM
2010,February,28,FM
2010,March,30,FM
2010,April,28,FM
2010,May,27,FM
2010,June,26,FM
2010,July,26,FM
2010,August,24,FM
2010,September,23,FM
2010,October,23,FM
2010,November,21,FM
2011,December,21,FM
2011,January,19,FM
2011,February,18,FM
2011,March,19,FM
2011,April,18,FM
2011,May,17,FM
2011,June,15,FM
2011,July,15,FM
2011,August,13,FM
2011,September,12,FM
2011,October,12,FM
2011,November,10,FM
2011,December,10,FM
2012,January,9,FM
2012,February,7,FM
2012,March,8,FM
2012,April,6,FM
2012,May,6,FM
2012,June,4,FM
2012,July,3,FM
2012,August,2,FM
2012,September,31,FM
2012,October,29,FM
2012,November,28,FM
2012,December,28,FM
2013,January,27,FM
2013,February,25,FM
2013,March,27,FM
2013,April,25,FM
2013,May,25,FM
2013,June,23,FM
2013,July,22,FM
2013,August,21,FM
2013,September,19,FM
2013,October,18,FM
2013,November,17,FM
2013,December,17,FM
2014,January,16,FM
2014,February,14,FM
2014,March,16,FM
2014,April,15,FM
2014,May,14,FM
2014,June,13,FM
2014,July,12,FM
2014,August,10,FM
2014,September,9,FM
2014,October,8,FM
2014,November,6,FM
2014,December,6,FM
2015,January,5,FM
2015,February,3,FM
2015,March,5,FM
2015,April,4,FM
2015,May,4,FM
2015,June,2,FM
2015,July,2,FM
2015,July,31,FM
2015,August,29,FM
2015,September,28,FM
2015,October,27,FM
2015,November,25,FM
2015,December,25,FM
2016,January,24,FM
2016,February,22,FM
2016,March,23,FM
2016,April,22,FM
2016,May,21,FM
2016,June,20,FM
2016,July,19,FM
2016,August,18,FM
2016,September,16,FM
2016,October,16,FM
2016,November,14,FM
2016,December,14,FM
2017,January,12,FM
2017,February,11,FM
2017,March,12,FM
2017,April,11,FM
2017,May,10,FM
2017,June,9,FM
2017,July,9,FM
2017,August,7,FM
2017,September,6,FM
2017,October,5,FM
2017,November,4,FM
2017,December,3,FM
2018,January,2,FM
2018,January,31,FM
2018,March,2,FM
2018,March,31,FM
2018,April,30,FM
2018,May,29,FM
2018,June,28,FM
2018,July,27,FM
2018,August,26,FM
2018,September,25,FM
2018,October,24,FM
2018,November,23,FM
2018,December,22,FM
2019,January,21,FM
2019,February,19,FM
2019,March,21,FM
2019,April,19,FM
2019,May,18,FM
2019,June,17,FM
2019,July,16,FM
2019,August,15,FM
2019,September,14,FM
2019,October,13,FM
2019,November,12,FM
2019,December,12,FM
2020,January,10,FM
2020,February,9,FM
2020,March,9,FM
2020,April,8,FM
2020,May,7,FM
2020,June,5,FM
2020,July,5,FM
2020,August,4,FM
2020,September,3,FM
2020,October,1,FM
2020,October,31,FM
2020,November,30,FM
2020,December,30,FM
2021,January,28,FM
2021,February,27,FM
2021,March,28,FM
2021,April,27,FM
2021,May,26,FM
2021,June,24,FM
2021,July,24,FM
2021,August,22,FM
2021,September,20,FM
2021,October,20,FM
2021,November,19,FM
2021,December,19,FM
2021,January,17,FM
2022,February,16,FM
2022,March,18,FM
2022,April,16,FM
2022,May,16,FM
2022,June,14,FM
2022,July,13,FM
2022,August,12,FM
2022,September,10,FM
2022,October,9,FM
2022,November,8,FM
2022,December,8,FM
2022,January,6,FM
2023,February,5,FM
2023,March,7,FM
2023,April,6,FM
2023,May,5,FM
2023,June,4,FM
2023,July,3,FM
2023,August,1,FM
2023,August,31,FM
2023,September,29,FM
2023,October,28,FM
2023,November,27,FM
2023,December,27,FM
2024,January,25,FM
2024,February,24,FM
2024,March,25,FM
2024,April,23,FM
2024,May,23,FM
2024,June,22,FM
2024,July,21,FM
2024,August,19,FM
2024,September,18,FM
2024,October,17,FM
2024,November,15,FM
2024,December,15,FM
2025,January,13,FM
2025,February,12,FM
2025,March,14,FM
2025,April,13,FM
2025,May,12,FM
2025,June,11,FM
2025,July,10,FM
2025,August,9,FM
2025,September,7,FM
2025,October,7,FM
2025,November,5,FM
2025,December,4,FM
2026,January,3,FM
2025,February,1,FM
2026,March,3,FM
2026,April,2,FM
2026,May,1,FM
2026,May,31,FM
2026,June,29,FM
2026,July,29,FM
2026,August,28,FM
2026,September,26,FM
2026,October,26,FM
2026,November,24,FM
2026,December,24,FM
2027,January,22,FM
2027,February,20,FM
2027,March,22,FM
2027,April,20,FM
2027,May,20,FM
2027,June,19,FM
2027,July,18,FM
2027,August,17,FM
2027,September,15,FM
2027,October,15,FM
2027,November,14,FM
2027,December,13,FM
2028,January,12,FM
2028,February,10,FM
2028,March,11,FM
2028,April,9,FM
2028,May,8,FM
2028,June,7,FM
2028,July,6,FM
2028,August,5,FM
2028,September,3,FM
2028,October,3,FM
2028,November,2,FM
2028,December,2,FM
2028,December,31,FM
2029,January,30,FM
2029,February,28,FM
2029,March,30,FM
2029,April,28,FM
2029,May,27,FM
2029,June,26,FM
2029,July,25,FM
2029,August,24,FM
2029,September,22,FM
2029,October,22,FM
2029,November,21,FM
2029,December,20,FM
2030,January,19,FM
2030,February,18,FM
2030,March,19,FM
2030,April,18,FM
2030,May,17,FM
2030,June,15,FM
2030,July,15,FM
2030,August,13,FM
2030,September,11,FM
2030,October,11,FM
2030,November,10,FM
2030,December,9,FM
