"","name","district","hometown","party","leadership","committees","bio","url"
"1","Scott Wiggam","District 1","Wooster","Republican",NA,"Aging and Long Term Care; Energy and Natural Resources; Financial Institutions, Housing, and Urban Development","Representative Scott Wiggam is currently serving his first term as state representative for the 1st Ohio House District, which encompasses all of Wayne County.","http://www.ohiohouse.gov/scott-wiggam"
"2","Mark J. Romanchuk","District 2","Ontario","Republican",NA,"Finance; Finance Subcommittee on Health and Human Services; Health; Higher Education and Workforce Development; Joint Medicaid Oversight Committee; Public Utilities","State Representative Mark Romanchuk is serving his third term in the Ohio House of Representatives. He represents the 2nd Ohio House District, which comprises all of Richland County.","http://www.ohiohouse.gov/mark-romanchuk"
"3","Theresa Gavarone","District 3","Bowling Green","Republican",NA,"Civil Justice; Education and Career Readiness; Finance; Finance Subcommittee on State Government and Agency Review; Health; Higher Education and Workforce Development","State Representative Theresa Gavarone is serving her first term in the Ohio House of Representatives after being appointed in 2016. She represents the 3rd Ohio House District, serving residents of Wood County.","http://www.ohiohouse.gov/theresa-gavarone"
"4","Robert R. Cupp","District 4","Lima","Republican",NA,"Criminal Justice; Education Oversight Committee, Joint; Education and Career Readiness; Finance; Finance Subcommittee on Primary and Secondary Education; Public Utilities; The Speaker's Task Force on Education and Poverty","Bob Cupp grew up working on his family’s farm in rural Allen County. A graduate of Columbus Grove Local schools, he earned his political science and law degrees from Ohio Northern University.","http://www.ohiohouse.gov/bob-cupp"
"5","Timothy E. Ginter","District 5",NA,"Republican",NA,"Community and Family Advancement; Government Accountability and Oversight; Health; Public Utilities","Representative Tim Ginter is serving his second term as state representative for the 5th Ohio House District, which encompasses all of Columbiana County. He currently serves as chair of the Community and Family Advancement Committee, as well as chair of the Advisory Board of the Governor’s Office of Faith-Based and Community Initiatives.","http://www.ohiohouse.gov/tim-ginter"
"6","Marlene Anielski","District 6","Walton Hills","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; State and Local Government; Ways and Means","State Representative Marlene Anielski is currently serving her fourth term in the Ohio House of Representatives. She represents the 6th House District, which includes portions of Cuyahoga County including Bentleyville, Brecksville, Broadview Heights, Chagrin Falls, Chagrin Falls Township, Gates Mills, Glenwillow, Highland Heights, Hunting Valley, Independence, Lyndhurst, Mayfield Village, Moreland Hills, Oakwood, Seven Hills, Solon, Valley View and Walton Hills.","http://www.ohiohouse.gov/marlene-anielski"
"7","Thomas F. Patton","District 7","Strongsville","Republican","Majority Whip","Aging and Long Term Care; Finance; Finance Subcommittee on Transportation; Public Utilities; Rules and Reference; Transportation and Public Safety","A lifelong resident of Cuyahoga County, Representative Tom Patton grew up as one of nine kids on the near west side of Cleveland. The son of a Cleveland police officer and the father of a Cleveland Heights police officer who tragically died in the line of duty, Representative Patton has taken up many legislative initiatives pertaining to police, firefighters, and first responders. Previously serving as a state representative and most recently as a state senator, he returns to the Ohio House to begin another term to serve the 7th House District as the Majority Whip. Though his legislative responsibilities in Co...","http://www.ohiohouse.gov/thomas-patton"
"8","Kent Smith","District 8","Euclid","Democrat",NA,"Education and Career Readiness; Financial Institutions, Housing, and Urban Development; Higher Education and Workforce Development; Public Utilities","State Rep. Kent Smith was first elected to serve the people of the 8th Ohio House District in 2014 and was re-elected in 2016.  He joined the Ohio House of Representatives after serving Euclid, Ohio as a Member of the Euclid Board of Education from 2002 – 2013.  In his 12 years on the Euclid School Board, Kent never missed a meeting.  As a Euclid School Board Member, he was a four-time winner of the “Award of Achievement” which is awarded annually by the Ohio School Boards Association to less than three percent of all School Board Members in Ohio.","http://www.ohiohouse.gov/kent-smith-k"
"9","Janine R. Boyd","District 9","Cleveland Heights","Democrat",NA,"Aging and Long Term Care; Community and Family Advancement; State and Local Government; Ways and Means","State Representative Janine Boyd, a lifelong resident of Ohio’s 9th House District, ran for office to help shift the tide back to policies that invest in working families by providing good jobs and high quality services, especially for those who need them most.","http://www.ohiohouse.gov/janine-boyd"
"10","Bill Patmon","District 10","Cleveland","Democrat",NA,"Agriculture and Rural Development; Ways and Means","Bill has dedicated his life to community service and being an agent of change. As a 12 year member of the Cleveland City Council he served as chairman of the Council Finance Committee during the last economic expansion in the city.","http://www.ohiohouse.gov/bill-patmon"
"11","Stephanie D. Howse","District 11",NA,"Democrat",NA,"Aging and Long Term Care; Community and Family Advancement; Transportation and Public Safety","Born and raised in Cleveland, Ohio, State Representative Stephanie Howse has lived most of her life in the Ward 7 community. Howse is a graduate of the Cleveland School of the Arts where she studied vocal and instrumental music. After high school, Stephanie earned her undergraduate degree in Civil Environmental Engineering from Florida A&M University and her Master’s degree in Environmental Studies from Cleveland State University.","http://www.ohiohouse.gov/stephanie-howse"
"12","John Barnes, Jr.","District 12",NA,"Democrat",NA,"Community and Family Advancement; Health",NA,"http://www.ohiohouse.gov/john-barnes"
"13","Nickie J. Antonio","District 13","Lakewood","Democrat",NA,"Finance; Finance Subcommittee on Higher Education; Health; Joint Medicaid Oversight Committee","State Representative Nickie J. Antonio (D-Lakewood) is honored to be serving her fourth term in the Ohio House of Representatives. Representing the 13th House District, she was also appointed to serve on the Democratic Caucus leadership team as Minority Whip during the 132nd General Assembly, having previously served as Minority Whip in the 131st General Assembly, and Assistant Minority Whip for part of the 130th. Antonio’s district includes the City of Lakewood and parts of Cleveland’s West Side: The Detroit Shoreway (Gordon Square Arts District), The Stockyar...","http://www.ohiohouse.gov/nickie-antonio"
"14","Martin J. Sweeney","District 14",NA,"Democrat",NA,"Government Accountability and Oversight; Higher Education and Workforce Development; Public Utilities","Born and raised in Cleveland’s Ward 16, the neighborhood he previously represented as a member of the City Council since January 13, 1997, State Representative Martin J. Sweeney is a native son who knows Cleveland, understands Cleveland and loves Cleveland.","http://www.ohiohouse.gov/martin-sweeney"
"15","Nicholas Celebrezze","District 15","Parma","Democrat","Assistant Minority Leader","Civil Justice; Criminal Justice; Rules and Reference","State Rep. Nicholas J. Celebrezze (D-Parma) serves his Democratic colleages as assistant House Democratic leader in the 132nd General Assembly.","http://www.ohiohouse.gov/nicholas-celebrezze"
"16","Dave Greenspan","District 16","Westlake","Republican",NA,"Community and Family Advancement; Finance; Finance Subcommittee on Transportation; Financial Institutions, Housing, and Urban Development; Government Accountability and Oversight; Transportation and Public Safety","Representative Dave Greenspan is serving his first term in the Ohio House of Representatives. He represents the 16th Ohio House District, which includes the cities of Bay Village, Fairview Park, North Olmsted, Rocky River, and Westlake.","http://www.ohiohouse.gov/dave-greenspan"
"17","Adam C. Miller","District 17","Columbus","Democrat",NA,"Armed Services, Veterans Affairs, and Homeland Security; Federalism and Interstate Relations; Finance; Finance Subcommittee on Primary and Secondary Education; Public Utilities","Adam Miller, a practicing attorney specializing in representing school districts, educational service centers and statewide educational associations, proudly serves constituents of Ohio's 17th House District. In addition to his legal career, Adam is a former elected School Board member, former public school teacher and superintendent of schools. He assists school district leaders in a host of legal matters, including labor contract negotiations, student legal issues, administrative contracts, Board of Education policies and governance, arbitrations, and education sector litigation. A...","http://www.ohiohouse.gov/adam-miller"
"18","Kristin Boggs","District 18","Columbus","Democrat",NA,"Civil Justice; Insurance; Public Utilities; Rules and Reference","Rep. Boggs is a dedicated public servant and an advocate for a strong public education system, economic opportunity for working people and a fair and compliant election process. She is committed to being a strong voice for Ohio’s working class by fighting for fair wages and economic security, and her passionate advocacy work extends to important issues such as voting rights, affordable education and domestic violence.","http://www.ohiohouse.gov/kristin-boggs"
"19","Anne Gonzales","District 19","Westerville","Republican",NA,"Finance; Insurance; Public Utilities","State Representative Anne Gonzales is currently serving the 19th Ohio House District in her fourth term at the Ohio House of Representatives. The district includes the cities of Westerville, Gahanna and New Albany; Sharon, Blendon, Plain and Mifflin Townships; the Village of Minerva Park and portions of Columbus.","http://www.ohiohouse.gov/anne-gonzales"
"20","Richard D. Brown","District 20","Canal Winchester","Democrat",NA,"Aging and Long Term Care; Armed Services, Veterans Affairs, and Homeland Security; Civil Justice; State and Local Government","Richard Brown received a Bachelor of Arts and graduated Summa Cum Laude from the University of Cincinnati, followed by receiving a Juris Doctorate from The Ohio State University. As an attorney practicing private law for over 35 years, Brown’s concentration and success with hundreds of construction, oil and gas, medical malpractice and insurance coverage litigation cases helped earn him licenses to practice law in Ohio, various federal courts and the United States Sixth Circuit Court of Appeals.","http://www.ohiohouse.gov/richard-brown"
"21","Mike Duffey","District 21","Worthington","Republican",NA,"Finance; Finance Subcommittee on Higher Education; Health; Higher Education and Workforce Development","State Representative Mike Duffey is serving his fourth term in the Ohio House of Representatives where he has most recently chaired the Higher Education subcommittee as well as JCARR.  He represents the 21st Ohio House district, including Dublin, Worthington, Washington Township, Sharon Township, Perry Township, the Village of Riverlea, and portions of Columbus.","http://www.ohiohouse.gov/mike-duffey"
"22","David Leland","District 22","Columbus","Democrat",NA,"Agriculture and Rural Development; Energy and Natural Resources; Federalism and Interstate Relations; Financial Institutions, Housing, and Urban Development","Always committed to making the north Columbus community a better place to live and work, State Representative David Leland has lived in the 22nd Ohio House District for more than 48 years. During this time, he has volunteered with many organizations, such as the Clintonville-Beechwold Community Resources Center, Friends of the Library, and the Clintonville 4th of July Celebration. His commitment to community service was recognized by the OSU Alumni Association with its Citizenship Award.","http://www.ohiohouse.gov/david-leland"
"23","Laura Lanese","District 23","Grove City","Republican",NA,"Civil Justice; Criminal Justice","Representative Laura Lanese is currently serving her first term in the Ohio House of Representatives. She represents the 23rd Ohio House District, which includes Grove City, Jackson Township, Urbancrest, and portions of Hilliard, Norwich Township, Prairie Township, Franklin Township, and Columbus.","http://www.ohiohouse.gov/laura-lanese"
"24","Jim Hughes","District 24","Upper Arlington","Republican",NA,"Criminal Justice; Financial Institutions, Housing, and Urban Development; Transportation and Public Safety","Representative Jim Hughes is serving his first term in the Ohio House representing the 24th district, which encompasses a portion of Franklin County, including Upper Arlington, Hilliard, and Clintonville.","http://www.ohiohouse.gov/jim-hughes"
"25","Bernadine Kennedy Kent","District 25","Columbus","Democrat",NA,"Community and Family Advancement; Criminal Justice; Government Accountability and Oversight; Health","Rep. Kent was born and raised in East Chicago, Indiana, a steel mill union city. Her parents, like many African Americans of the time, migrated from the South for better opportunities in the North. Her father could not read or write. Her mother went to the third grade, and yet, they bought a home and raised five children. All children graduated from high school and two went on to graduate from Central State University. Rep. Kent’s husband, whose own father was a Tuskegee Airman, served his country as a Green Beret in Vietnam.","http://www.ohiohouse.gov/bernadine-kent"
"26","Hearcel F. Craig","District 26","Columbus","Democrat",NA,"Aging and Long Term Care; Armed Services, Veterans Affairs, and Homeland Security; Financial Institutions, Housing, and Urban Development; Public Utilities","Representative Hearcel Craig brings his strong background of public service to the Statehouse after being elected to serve constituents of the 26th House District in November 2014.","http://www.ohiohouse.gov/hearcel-craig"
"27","Thomas E. Brinkman, Jr.","District 27","Mt. Lookout","Republican",NA,"Economic Development, Commerce, and Labor; Insurance; Public Utilities","Representative Tom Brinkman is currently serving his second term as state representative, after serving as a member of the Ohio House for four 2-year terms from 2001 to 2008. He represents the 27th Ohio House District, which includes portions of eastern Hamilton County.","http://www.ohiohouse.gov/tom-brinkman"
"28","Jonathan Dever","District 28","Madeira","Republican",NA,"Civil Justice; Financial Institutions, Housing, and Urban Development; Public Utilities","State Representative Jonathan Dever is currently serving his second term as state representative.  He represents the 28th House District, which includes the northern suburbs of Hamilton County.","http://www.ohiohouse.gov/jonathan-dever"
"29","Louis W. Blessing III","District 29","Colerain Township","Republican",NA,"Finance; Finance Subcommittee on Primary and Secondary Education; Government Accountability and Oversight; Rules and Reference; Ways and Means","State Representative Louis W. Blessing, III is serving his third term in the Ohio House of Representatives. He represents the 29th Ohio House District, which includes portions of western Hamilton County.","http://www.ohiohouse.gov/louis-blessing"
"30","Bill Seitz","District 30","Cincinnati","Republican","Majority Floor Leader","Civil Justice; Criminal Justice; Government Accountability and Oversight; Public Utilities; Rules and Reference","A lifelong resident of Western Hamilton County, State Representative Bill Seitz has worked to represent the best interests of the Greater Cincinnati area at the Statehouse. Known for his colorful floor speeches and legal acumen, in a 2016 ranking of all 132 legislators published by Columbus Monthly Magazine, Seitz was rated best speechmaker, savviest, funniest, and most knowledgeable and was also recognized as second most effective and hardest working. He has put these talents to good use on issues that matter to his constituents.","http://www.ohiohouse.gov/bill-seitz"
"31","Brigid Kelly","District 31","Cincinnati","Democrat","Assistant Minority Whip","Aging and Long Term Care; Economic Development, Commerce, and Labor; Finance; Finance Subcommittee on Agriculture Development and Natural Resources; Finance Subcommittee on State Government and Agency Review; Government Accountability and Oversight; Rules and Reference","Born and raised in Norwood, Rep. Brigid Kelly learned early on the importance of a strong community.","http://www.ohiohouse.gov/brigid-kelly"
"32","Catherine D. Ingram","District 32","Cincinnati","Democrat",NA,"Education and Career Readiness; Financial Institutions, Housing, and Urban Development; Higher Education and Workforce Development","As a public servant, university instructor, realtor, neighborhood leader, mom and grandmother, Catherine Ingram knows how much the decisions made in Columbus personally impact all of us.","http://www.ohiohouse.gov/catherine-ingram"
"33","Alicia Reece","District 33","Cincinnati","Democrat",NA,"Conference Committee on HB26; Economic Development, Commerce, and Labor; Finance; Finance Subcommittee on Transportation; Transportation and Public Safety","Rep. Alicia Reece (D-Cincinnati) represents the 33rd Ohio House District in Hamilton County; she is in her third term as a state legislator.  She previously served as President of the Ohio Legislative Black Caucus and as Vice Mayor on Cincinnati City Council, chairing the Health Committee for six years. She is the former Assistant Director of Tourism for the State of Ohio.","http://www.ohiohouse.gov/alicia-reece"
